Symbol,Name,Date,Open,High,Low,Close,Adj Close,Volume
META,"Meta Platforms, Inc.",20/07/2022,177.490005,183.600006,176.699997,183.089996,183.089996,24784300
META,"Meta Platforms, Inc.",21/07/2022,180.630005,183.850006,178.869995,183.169998,183.169998,27195800
META,"Meta Platforms, Inc.",22/07/2022,173.070007,175.600006,168.410004,169.270004,169.270004,42583900
META,"Meta Platforms, Inc.",25/07/2022,169,170.570007,164.809998,166.649994,166.649994,26166300
META,"Meta Platforms, Inc.",26/07/2022,165.940002,166,157.949997,159.149994,159.149994,28468400
META,"Meta Platforms, Inc.",27/07/2022,162.589996,170.869995,162.020004,169.580002,169.580002,43846600
META,"Meta Platforms, Inc.",28/07/2022,161.059998,161.509995,154.850006,160.720001,160.720001,73214300
META,"Meta Platforms, Inc.",29/07/2022,157.690002,160.139999,155.169998,159.100006,159.100006,42065400
META,"Meta Platforms, Inc.",01/08/2022,157.25,165.190002,155.229996,159.929993,159.929993,40596700
META,"Meta Platforms, Inc.",02/08/2022,158.309998,162.240005,158.009995,160.190002,160.190002,27374500
META,"Meta Platforms, Inc.",03/08/2022,162.690002,169.539993,161.570007,168.800003,168.800003,31721900
META,"Meta Platforms, Inc.",04/08/2022,168.300003,172.149994,166.800003,170.570007,170.570007,23938200
META,"Meta Platforms, Inc.",05/08/2022,166.990005,171.610001,165.800003,167.110001,167.110001,25832700
META,"Meta Platforms, Inc.",08/08/2022,168,177.509995,167.130005,170.25,170.25,27299100
META,"Meta Platforms, Inc.",09/08/2022,168.949997,169.529999,166.600006,168.529999,168.529999,18655100
META,"Meta Platforms, Inc.",10/08/2022,175.990005,180.479996,173.949997,178.339996,178.339996,30262100
META,"Meta Platforms, Inc.",11/08/2022,179.710007,183.100006,176.369995,177.490005,177.490005,24079100
META,"Meta Platforms, Inc.",12/08/2022,180.809998,181.460007,178.910004,180.5,180.5,21274000
META,"Meta Platforms, Inc.",15/08/2022,178.960007,181.440002,178.199997,180.889999,180.889999,15878700
META,"Meta Platforms, Inc.",16/08/2022,179.440002,180.990005,177.039993,179.470001,179.470001,21156700
META,"Meta Platforms, Inc.",17/08/2022,176.759995,178.139999,174.169998,174.850006,174.850006,20118100
META,"Meta Platforms, Inc.",18/08/2022,174.339996,175.759995,171.860001,174.660004,174.660004,18844500
META,"Meta Platforms, Inc.",19/08/2022,170.199997,172.320007,167.050003,167.960007,167.960007,26240800
